epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3395,1.33508,1.84057,1.25105,0.49682,0.38785,0.38853,0.24233,1.32233,1.38485,1.2003,0.000222215,0.000222215,0.000222215
2,106.915,1.34919,1.49873,1.26537,0.57493,0.40094,0.42694,0.27778,1.28963,1.23885,1.1935,0.000297848,0.000297848,0.000297848
3,156.331,1.30161,1.36951,1.23987,0.60018,0.434,0.47374,0.31045,1.23483,1.13034,1.15617,0.00022674,0.00022674,0.00022674
