epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.278,1.33308,1.54312,1.20908,0.54917,0.41281,0.43578,0.28472,1.30302,1.15387,1.16012,0.000222286,0.000222286,0.000222286
2,291.759,1.35737,1.30788,1.22928,0.59084,0.43158,0.46168,0.30284,1.29239,1.11341,1.14387,0.000356585,0.000356585,0.000356585
3,424.666,1.33963,1.26405,1.2226,0.64637,0.44172,0.49867,0.33579,1.2418,1.0265,1.1227,0.00040284,0.00040284,0.00040284
4,554.808,1.30322,1.2008,1.20212,0.66544,0.47353,0.52695,0.35809,1.20883,0.97929,1.10187,0.000270802,0.000270802,0.000270802
5,688.715,1.25543,1.12708,1.17487,0.66381,0.48522,0.54098,0.37046,1.18157,0.94186,1.08564,0.000138736,0.000138736,0.000138736
