epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6099,1.54087,2.05132,1.41762,0.50982,0.37497,0.38475,0.2053,1.6361,1.51048,1.37973,0.000222215,0.000222215,0.000222215
2,118.795,1.54076,1.71086,1.42874,0.58207,0.40586,0.44121,0.24319,1.54099,1.36121,1.33624,0.000297848,0.000297848,0.000297848
3,172.717,1.50075,1.57581,1.3998,0.61615,0.45436,0.50373,0.28311,1.56644,1.24552,1.31777,0.00022674,0.00022674,0.00022674
