epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4574,1.28387,1.84979,1.26125,0.52003,0.40793,0.41648,0.26265,1.28231,1.37448,1.23975,0.000222215,0.000222215,0.000222215
2,114.137,1.30823,1.50187,1.28168,0.56322,0.41498,0.45022,0.28274,1.27926,1.27234,1.23425,0.000297848,0.000297848,0.000297848
3,167.645,1.2587,1.36185,1.25474,0.65634,0.46493,0.5203,0.33654,1.20733,1.15375,1.1894,0.00022674,0.00022674,0.00022674
