epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.92,1.23328,1.52442,1.22735,0.62675,0.43657,0.48722,0.32129,1.23317,1.17686,1.21272,0.000222286,0.000222286,0.000222286
2,356.516,1.27557,1.28184,1.26137,0.68022,0.46102,0.526,0.34588,1.22151,1.10991,1.20172,0.000356585,0.000356585,0.000356585
3,522.923,1.25784,1.23565,1.25172,0.67271,0.49951,0.56329,0.37932,1.17117,1.0276,1.16722,0.00040284,0.00040284,0.00040284
4,688.873,1.22445,1.17232,1.23215,0.71106,0.5183,0.58786,0.40239,1.14284,0.98814,1.14684,0.000270802,0.000270802,0.000270802
5,854.854,1.17833,1.09653,1.20205,0.70653,0.54098,0.61218,0.41776,1.11473,0.94221,1.12666,0.000138736,0.000138736,0.000138736
