epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.954,1.21054,1.56056,1.26296,0.59113,0.46404,0.49915,0.32035,1.23055,1.20813,1.28442,0.000222286,0.000222286,0.000222286
2,469.078,1.25243,1.28909,1.29822,0.64581,0.49736,0.54532,0.35602,1.209,1.11906,1.25431,0.000356585,0.000356585,0.000356585
3,694.559,1.2355,1.24184,1.28899,0.665,0.51795,0.57531,0.38436,1.16898,1.05343,1.23277,0.00040284,0.00040284,0.00040284
4,919.464,1.20348,1.17798,1.26729,0.7152,0.52781,0.61565,0.41519,1.12799,0.99885,1.2035,0.000270802,0.000270802,0.000270802
5,1147.48,1.15538,1.10026,1.23383,0.71737,0.54965,0.63526,0.43171,1.09853,0.96183,1.17999,0.000138736,0.000138736,0.000138736
